"","Species","Estimate (scale og)","l_95_CI_scale_og","u_95_CI_scale_og","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_scale_sum","Est.Error","l_95_CI_scale_sum","u_95_CI_scale_sum"
"Intercept","Salix richardsonii",-9.18047295434998,-13.4510983348204,-5.49917816762564,1.00211376917067,2197.79709051058,1788.14378261055,40,"fixed",137.16952704565,2.04270270917579,132.89890166518,140.850821832374
"Northern Source","Salix richardsonii",32.9868078879573,26.0995149688266,39.7054767588223,1.00015493668195,4420.38927303181,4036.3501714813,40,"fixed",170.156334933607,3.39136606096657,158.998416634006,180.556298591197
"Southern Garden","Salix richardsonii",0.96364760207853,-2.86452721343004,4.92699555189896,0.999947970249001,4018.53736014799,4320.45920292519,40,"fixed",138.133174647729,1.97266180272399,130.03437445175,145.777817384273
"Southern Source","Salix richardsonii",32.7048472915092,27.8445501081606,37.6611839153238,1.000997116344,4201.63353451647,3909.87648772494,40,"fixed",169.874374337159,2.47820381446195,160.74345177334,178.512005747698
"Year","Salix richardsonii",1.57004716846204,0.0481752980740144,5.77648001026521,1.00133661670614,1596.38939349872,1947.79005969995,40,"random",147.920047168462,1.63147799766819,146.398175298074,152.126480010265
"Sigma","Salix richardsonii",4.9671177020395,3.94089627264313,6.32909738576079,0.999895201496976,4461.27176221118,3908.02125805758,40,"residual",151.317117702039,0.604413525974875,150.290896272643,152.679097385761
" Intercept","Salix pulchra",-11.1526605817935,-15.8871662569206,-7.04239030039768,1.00072401875994,2250.45828482564,2982.74919137538,36,"fixed",137.041783862651,2.15268171178555,132.307278187524,141.152054144047
" Northern Source","Salix pulchra",32.0410706514935,26.6002826478549,37.37836271577,1.00042903362705,4024.0891710243,3993.45890025912,36,"fixed",169.082854514144,2.73311017432679,158.907560835379,178.530416859817
" Southern Garden","Salix pulchra",3.04322522325181,-0.0427955145081634,5.95769758507043,1.00021301790405,4792.21921416172,4150.30211093846,36,"fixed",140.085009085903,1.50410363860571,132.264482673016,147.109751729117
" Southern Source","Salix pulchra",35.3271945551681,30.9274636897292,39.707996168286,1.00011388437726,4819.83999206666,4360.38335052362,36,"fixed",172.368978417819,2.23007944629837,163.234741877253,180.860050312333
" Year","Salix pulchra",2.93547939226568,0.152801916670829,7.97041209057106,1.00207329025594,1190.88381413425,1626.47476394449,36,"random",151.12992383671,2.05697161892561,148.347246361115,156.164856535016
" Sigma","Salix pulchra",3.84282410160171,2.9809650580312,5.01220493789956,1.00158890004141,3549.07638412621,4356.27979330049,36,"residual",152.037268546046,0.526436111641479,151.175409502476,153.206649382344
"Intercept ","Salix arctica",-30.5855581798289,-41.2810389026527,-19.5764008605921,1.00108728531907,1761.48974011624,2493.00574952337,173,"fixed",124.755482282599,5.49948914047548,114.060001559775,135.764639601836
"Northern Source ","Salix arctica",32.8513076133297,26.4391454269507,39.0008638733522,1.00047271473146,3472.05588204409,3412.90254021318,173,"fixed",157.606789895929,3.20498033050342,140.499146986726,174.765503475188
"Southern Garden ","Salix arctica",6.48742482793784,-1.13573912519708,13.8498758381199,1.00079047831873,3479.12025234196,3596.91963008673,173,"fixed",131.242907110537,3.81723769672969,112.924262434578,149.614515439956
"Year ","Salix arctica",13.6708984408675,8.20860421079544,23.1442464075287,1.00204824237809,1377.41628833991,2701.65898298053,173,"random",169.011938903295,3.83459543863868,163.549644673223,178.485286869956
"Sigma ","Salix arctica",6.57982138713134,5.89743217742711,7.36095468614045,1.0004966687097,4421.69866346779,3580.81961281576,173,"residual",161.920861849559,0.372372690050374,161.238472639855,162.701995148568
